"ID","MonthlyIncome"
871,5626.39
872,2830.95
873,13000.09
874,3425.44
875,3123.43
876,4502
877,5531.26
878,2459.02
879,2830.95
880,13374.44
881,9169.16
882,2700.62
883,6197.17
884,5531.26
885,5959.34
886,5983.96
887,5436.64
888,5820.1
889,4155.45
890,2665.86
891,5415.65
892,8881.56
893,8785.69
894,5626.39
895,9441.64
896,8990.05
897,8881.56
898,16418.47
899,5959.34
900,2877.96
901,2881.83
902,5816.65
903,5769.08
904,2459.02
905,16440.99
906,5578.82
907,8727.89
908,5820.1
909,2700.62
910,2783.95
911,19244.44
912,2614.5
913,2459.02
914,11852.79
915,5820.1
916,3703.68
917,2689.93
918,5864.21
919,2302.84
920,2640.22
921,2356.76
922,2640.22
923,4697.57
924,4981.5
925,16350.9
926,2881.83
927,5721.52
928,12135.8
929,2640.22
930,3123.43
931,5959.34
932,12892.34
933,8881.56
934,2459.02
935,2821.43
936,3183.83
937,8727.89
938,9618.78
939,5725.21
940,2464.6
941,2881.83
942,8785.69
943,8881.56
944,5697.2
945,2356.76
946,6293.9
947,2356.76
948,3301.03
949,2665.86
950,5626.39
951,2783.95
952,5721.52
953,5832.3
954,2398.62
955,4607.22
956,7988
957,8864.3
958,2640.22
959,8785.69
960,19237.75
961,2971.98
962,5183.49
963,6030.13
964,4981.5
965,2830.95
966,19214.32
967,2830.95
968,10223.69
969,16373.43
970,2761.02
971,5483.69
972,6227.95
973,2821.43
974,2783.95
975,5697.2
976,2689.93
977,5898.24
978,2971.98
979,9241.54
980,19389.57
981,2626.36
982,8977.42
983,3002.63
984,2464.6
985,5531.26
986,2736.94
987,2736.94
988,5483.69
989,9870.28
990,2971.98
991,4981.5
992,2548.91
993,4981.5
994,5673.95
995,5721.52
996,4951.32
997,2595.92
998,16482.59
999,8881.56
1000,2640.22
1001,4981.5
1002,4502
1003,5493.04
1004,5574.31
1005,2783.95
1006,5531.26
1007,2464.6
1008,6491.72
1009,19477.96
1010,5086
1011,8738.56
1012,4719.15
1013,5626.39
1014,4607.22
1015,5816.65
1016,2881.83
1017,2761.02
1018,9840.22
1019,10223.69
1020,2830.95
1021,5721.52
1022,5531.26
1023,4641.76
1024,8638.67
1025,16440.99
1026,19212.78
1027,4981.5
1028,5626.39
1029,5721.52
1030,7988
1031,5721.52
1032,2648.74
1033,12135.8
1034,2595.92
1035,4607.22
1036,3348.04
1037,5721.52
1038,7988
1039,12703.21
1040,6293.9
1041,2881.83
1042,2877.96
1043,9552.62
1044,5769.08
1045,2877.96
1046,2761.02
1047,6188.79
1048,11666.34
1049,2971.98
1050,5578.82
1051,8864.3
1052,2640.22
1053,6096.07
1054,3018.98
1055,2595.92
1056,2881.83
1057,5779.14
1058,16418.47
1059,4981.5
1060,2877.96
1061,5338.26
1062,6024.93
1063,5832.3
1064,2410.68
1065,6030.13
1066,2821.43
1067,2548.91
1068,19389.57
1069,5959.34
1070,2356.76
1071,2356.76
1072,5820.1
1073,2464.6
1074,5766.36
1075,5864.21
1076,16328.38
1077,19065.46
1078,4607.22
1079,5415.65
1080,5338.26
1081,2642.92
1082,2783.95
1083,2410.68
1084,5721.52
1085,9493.04
1086,8881.56
1087,5911.78
1088,2736.94
1089,3301.03
1090,5626.39
1091,5626.39
1092,5721.52
1093,13459.74
1094,5721.52
1095,6162.01
1096,5820.1
1097,2877.96
1098,2665.86
1099,2821.43
1100,5697.2
1101,19094.93
1102,5911.78
1103,5578.82
1104,9648.49
1105,2783.95
1106,2830.95
1107,2971.98
1108,4981.5
1109,6197.17
1110,5626.39
1111,6293.9
1112,11852.79
1113,11666.34
1114,6006.91
1115,8906.32
1116,2548.91
1117,5983.96
1118,4426.51
1119,9352.42
1120,2356.76
1121,10223.69
1122,16440.99
1123,5493.04
1124,16328.38
1125,3160.01
1126,2464.6
1127,2459.02
1128,4607.22
1129,16384.69
1130,2821.43
1131,11757.54
1132,16317.12
1133,5832.3
1134,2459.02
1135,2942.23
1136,3606.64
1137,2579.82
1138,5721.52
1139,9073.29
1140,16550.53
1141,5832.3
1142,5531.26
1143,9173.98
1144,5626.39
1145,4981.5
1146,5721.52
1147,4697.57
1148,2821.43
1149,2548.91
1150,6491.72
1151,2877.96
1152,5769.08
1153,5493.04
1154,2942.23
1155,6188.79
1156,12514.82
1157,2464.6
1158,4951.32
1159,2877.96
1160,5697.2
1161,2830.95
1162,9870.28
1163,2700.62
1164,8738.56
1165,3301.03
1166,3183.83
1167,8727.89
1168,5483.69
1169,2642.92
1170,3113
